,Car_Name,Year,Selling_Price,Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
288,city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,1
52,innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,1
170,Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,1
206,xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,1
142,Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,1
43,dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,1
232,elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,1
245,verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,1
127,Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,1
183,Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,1
101,UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,1
219,verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,1
62,fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,1
200,Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,1
216,eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,1
238,verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,1
63,fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,1
212,creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,1
42,sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,1
18,wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,1
292,jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,1
5,vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,1
186,TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,1
78,corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,1
161,TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,1
109,Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,1
265,jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,1
107,Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,1
220,eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,1
168,Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,1
17,ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,1
197,Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,1
92,innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,1
289,city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,1
135,Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,1
0,ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,1
192,Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,2
140,Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,1
276,city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,1
279,city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,1
128,Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,1
40,baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,1
150,TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,1
223,verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,1
10,alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,1
70,etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,1
36,dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,1
278,jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,1
86,land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,1
106,Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,2
60,corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,1
73,etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,1
259,amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,1
33,ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,1
110,KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,1
65,etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,1
118,Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,1
196,Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,1
98,corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,1
263,jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,1
84,innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,1
28,alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,1
239,eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,1
39,sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,1
205,grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,2
277,city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,1
66,innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,1
64,fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,1
204,eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,1
93,fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,1
